"";"date";"profondeur";"Chl_a";"par";"Turbidite"
"1";2016-10-17;0.4;3.52;359.12;0.83
"2";2016-10-17;0.7;3.52;150.19;0.71
"3";2016-10-17;0.9;4.11;135.26;0.71
"4";2016-10-17;1.4;3.43;112.66;0.77
"5";2016-10-17;1.7;3.33;101.18;0.65
"6";2016-10-17;1.9;3.46;91.02;0.77
"7";2016-10-17;2.2;3.7;81.49;0.93
"8";2016-10-17;2.4;3.8;73.4;0.77
"9";2016-10-17;3;3.64;64.83;0.83
"10";2016-10-17;3.5;3.3;59.47;0.89
"11";2016-10-17;3.7;2.87;58.07;0.77
"12";2016-10-17;4;2.84;56.2;0.83
"13";2016-10-17;4.2;2.65;54.31;0.77
"14";2016-10-17;4.8;2.93;50.68;0.8
"15";2016-10-17;5.2;2.62;47.25;0.77
"16";2016-10-17;5.5;2.5;45.44;0.93
"17";2016-10-17;6;2.16;41.99;0.86
"18";2016-10-17;6.3;2.13;40.32;0.86
"19";2016-10-17;6.5;2.01;38.57;0.77
"20";2016-10-17;6.8;1.91;37.12;0.8
"21";2016-10-17;7;1.91;35.48;0.8
"22";2016-10-17;7.3;1.79;33.92;0.8
"23";2016-10-17;7.6;1.73;32.51;0.86
"24";2016-10-17;7.8;2.01;31.11;0.77
"25";2016-10-17;8.3;1.57;28.56;0.77
"26";2016-10-17;8.6;1.73;27.29;0.83
"27";2016-10-17;9.1;1.57;25.02;0.71
"28";2016-10-17;9.6;1.39;22.91;0.65
"29";2016-10-17;10.1;1.51;20.96;0.65
"30";2016-10-17;10.4;1.27;20.12;0.65
"31";2016-10-17;10.6;1.39;19.27;0.68
"32";2016-10-17;11.1;1.14;17.75;0.71
"33";2016-10-17;11.4;1.14;16.98;0.68
"34";2016-10-17;11.7;1.17;16.37;0.65
"35";2016-10-17;12.2;1.08;15.14;0.65
"36";2016-10-17;12.4;1.08;14.57;0.65
"37";2016-10-17;12.7;1.02;13.98;0.71
"38";2016-10-17;12.9;1.08;13.51;0.77
"39";2016-10-17;13.2;1.05;13.01;0.74
"40";2016-10-17;13.7;1.05;12.08;0.74
"41";2016-10-17;14;0.99;11.58;0.71
"42";2016-10-17;14.2;0.99;11.14;0.77
"43";2016-10-17;14.7;1.02;10.27;0.77
"44";2016-10-17;15.2;0.93;9.53;0.77
"45";2016-10-17;15.5;0.96;9.13;0.77
"46";2016-10-17;16;0.99;8.45;0.77
"47";2016-10-17;16.2;0.89;8.12;0.74
"48";2016-10-17;16.5;0.93;7.81;0.8
"49";2016-10-17;17;0.93;7.22;0.71
"50";2016-10-17;17.6;1.2;6.66;0.74
"51";2016-10-17;18;0.89;6.16;0.74
"52";2016-10-17;18.5;1.02;5.73;0.77
"53";2016-10-17;18.8;0.96;5.51;0.77
"54";2016-10-17;19.1;0.96;5.29;0.74
"55";2016-10-17;19.3;0.93;5.06;0.74
"56";2016-10-17;19.6;0.83;4.86;0.62
"57";2016-10-17;19.8;0.89;4.66;0.65
"58";2016-10-17;20.1;0.93;4.48;0.65
